"","year","loc","area","ur_perc","minimal_distance","tik","voters_n_scaled","voters_n","prot_full_perc","investment","investment_scaled","rural_perc","titular_perc","budget_autonomy_scaled","mun_spent_scaled","mun_spent","ID_3","area2","month_count","id","krpf_kurultai","str","proximity","proximity_scaled","month_count_scaled","krpf_kurultai_scaled","rural_perc_scaled","titular_perc_scaled"
"1","2016","№1","Уфа",77.9831932773109,111.801881032957,"Уфа",0.509074932399405,1243,20.5042016806723,81469,1.02111255076096,0.932114293459506,16.1242581463924,1.37211606175064,-1.02219646426268,750,"Уфа","г. Уфа",57,"УИК №1",0.089058524173028,"УИК",199.547961064318,0.305588529908253,-0.0532714543638976,-0.614335368207943,-1.51458832682467,-0.928291261321525
"2","2016","№10","Уфа",55.9945504087193,113.107364596625,"Уфа",0.563182377544495,1283,41.41689373297,81469,1.02111255076096,0.932114293459506,16.1242581463924,1.37211606175064,-1.02219646426268,750,"Уфа","г. Уфа",57,"УИК №10",0.101010101010101,"УИК",198.24247750065,0.288771300376864,-0.0532714543638976,-0.497071991151557,-1.51458832682467,-0.928291261321525
"3","2016","№100","Уфа",46.7086834733894,114.708568762095,"Уфа",1.73596125106431,2150,52.2408963585434,81469,1.02111255076096,0.932114293459506,16.1242581463924,1.37211606175064,-1.02219646426268,750,"Уфа","г. Уфа",57,"УИК №100",0.113494191242181,"УИК",196.64127333518,0.26814460025843,-0.0532714543638976,-0.374583837492261,-1.51458832682467,-0.928291261321525
"4","2016","№1000","Баймакский район",56.8627450980392,85.6879931450006,"ТИК муниципального района Баймакский район Республики Башкортостан",0.0802734296245702,926,41.3725490196078,11396,-0.420802478379494,69.4364768434308,83.0874820733456,0.370629793164916,1.18170359781733,2692,"Баймакский район","Баймакский район",66,"УИК №1000",0.0238331678252234,"УИК",225.661848952274,0.641987438933806,0.135447961402502,-1.25429657661723,0.12871540034054,1.96904493377069
"5","2016","№1001","Баймакский район",61.2842304060434,83.5900957403708,"ТИК муниципального района Баймакский район Республики Башкортостан",2.08765964450739,2410,37.5826251180359,11396,-0.420802478379494,69.4364768434308,83.0874820733456,0.370629793164916,1.18170359781733,2692,"Баймакский район","Баймакский район",66,"УИК №1001",0.0509107893507707,"УИК",227.759746356904,0.669012537654954,0.135447961402502,-0.988623403443042,0.12871540034054,1.96904493377069
"6","2016","№1002","Баймакский район",58.5227272727273,84.6083157621629,"ТИК муниципального района Баймакский район Республики Башкортостан",-0.0360575774373725,840,41.4772727272727,11396,-0.420802478379494,69.4364768434308,83.0874820733456,0.370629793164916,1.18170359781733,2692,"Баймакский район","Баймакский район",66,"УИК №1002",0.0359195402298851,"УИК",226.741526335112,0.655895834927713,0.135447961402502,-1.13571064742541,0.12871540034054,1.96904493377069
"7","2016","№1003","Баймакский район",77.9329608938548,110.511090193485,"ТИК муниципального района Баймакский район Республики Башкортостан",-0.564957853730623,449,22.0670391061453,11396,-0.420802478379494,69.4364768434308,83.0874820733456,0.370629793164916,1.18170359781733,2692,"Баймакский район","Баймакский район",66,"УИК №1003",0.041871921182266,"УИК",200.83875190379,0.322216487876121,0.135447961402502,-1.0773086221933,0.12871540034054,1.96904493377069
"8","2016","№1004","Баймакский район",80.9917355371901,108.750154128512,"ТИК муниципального района Баймакский район Республики Башкортостан",-0.980232495219186,142,18.1818181818182,11396,-0.420802478379494,69.4364768434308,83.0874820733456,0.370629793164916,1.18170359781733,2692,"Баймакский район","Баймакский район",66,"УИК №1004",0.037037037037037,"УИК",202.599687968763,0.344900853132735,0.135447961402502,-1.12474628253509,0.12871540034054,1.96904493377069
"9","2016","№1005","Баймакский район",56.4784053156146,93.0651206963831,"ТИК муниципального района Баймакский район Республики Башкортостан",0.23718502054533,1042,41.6943521594684,11396,-0.420802478379494,69.4364768434308,83.0874820733456,0.370629793164916,1.18170359781733,2692,"Баймакский район","Баймакский район",66,"УИК №1005",0.0947242206235012,"УИК",218.284721400892,0.546955336832612,0.135447961402502,-0.558746159502192,0.12871540034054,1.96904493377069
"10","2016","№1006","Баймакский район",83.7349397590361,88.2031970359063,"ТИК муниципального района Баймакский район Республики Башкортостан",-0.943709969746251,169,16.2650602409639,11396,-0.420802478379494,69.4364768434308,83.0874820733456,0.370629793164916,1.18170359781733,2692,"Баймакский район","Баймакский район",66,"УИК №1006",0.0670731707317073,"УИК",223.146645061369,0.60958660116856,0.135447961402502,-0.830045548165994,0.12871540034054,1.96904493377069
"11","2016","№1007","Баймакский район",78.2967032967033,83.7601933871222,"ТИК муниципального района Баймакский район Республики Башкортостан",-0.639355590805122,394,19.2307692307692,11396,-0.420802478379494,69.4364768434308,83.0874820733456,0.370629793164916,1.18170359781733,2692,"Баймакский район","Баймакский район",66,"УИК №1007",0.0612244897959184,"УИК",227.589648710153,0.666821341038024,0.135447961402502,-0.887430116512532,0.12871540034054,1.96904493377069
"12","2016","№1008","Баймакский район",90.8163265306122,93.4059801031066,"ТИК муниципального района Баймакский район Республики Башкортостан",-1.01540233456349,116,9.18367346938776,11396,-0.420802478379494,69.4364768434308,83.0874820733456,0.370629793164916,1.18170359781733,2692,"Баймакский район","Баймакский район",66,"УИК №1008",0.00961538461538462,"УИК",217.943861994168,0.542564388497195,0.135447961402502,-1.39379492868988,0.12871540034054,1.96904493377069
