"","year","loc","area","tik","uik","Число избирателей, внесенных в список избирателей на момент окончания голосования","dist_km","ur","turnout","protest","prot_full","treat","durat","dur_ful","tik_n","ur_perc","turnout_perc","prot_perc","voters_n","X","lat","lon","minimal_distance","proximity","num","month_count","mun_spent_scaled","rural_perc","titular_perc","investment_scaled","id","krpf_kurultai","str","krpf_kurultai_scaled","month_count_scaled","voters_n_scaled"
"1",2011,"№1","Уфа","53-59 Уфа",1,560,111.894924733915,0.562200956937799,0.643076923076923,0.394736842105263,0.433014354066986,0,142.361666666667,142.361666666667,53,56.2200956937799,64.3076923076923,39.4736842105263,-0.421909572627783,1,54.696085,55.855538,0,311238.040216242,"53-59",35,-0.740070019652442,1.00730263717548,14.7968572713065,0.950285391508443,"УИК №1",0.089058524173028,"УИК",-0.597701484980927,-0.511431920534989,-0.394955433108296
"2",2011,"№10","Уфа","53-59 Уфа",10,2238,113.201707991981,0.522289156626506,0.83,0.437349397590361,0.477710843373494,0,141.756666666667,141.756666666667,53,52.2289156626506,83,43.7349397590361,1.71559973679319,10,54.706516,55.838164,0,311236.734732678,"53-59",35,-0.740070019652442,1.00730263717548,14.7968572713065,0.950285391508443,"УИК №10",0.101010101010101,"УИК",-0.480967728252317,-0.511431920534989,1.78318152714755
"3",2011,"№100","Уфа","53-59 Уфа",100,2410,114.79432984138,0.5175,0.772946859903382,0.399375,0.46625,0,139.95,139.95,55,51.75,77.2946859903382,39.9375,1.93470081022609,100,54.727271,55.931589,0,311235.133528513,"53-59",35,-0.740070019652442,1.00730263717548,14.7968572713065,0.950285391508443,"УИК №100",0.113494191242181,"УИК",-0.359032792637035,-0.511431920534989,2.00644705585077
"4",2011,"№1000","Баймакская","53-59 Уфа",1000,823,193.950677632567,0.935897435897436,0.917647058823529,0.0641025641025641,0.0641025641025641,0,354.266666666667,354.266666666667,7,93.5897435897436,91.7647058823529,6.41025641025641,-0.0868887452274757,1045,52.576664,58.302045,0,311264.15410413,"7",33,3.98481026791909,68.8521023335086,88.5705965857387,-0.566325334345148,"УИК №1000",0.0238331678252234,"УИК",-1.23477230703542,-0.55423519005301,-0.0535668630562771
"5",2011,"№1001","Баймакская","53-59 Уфа",1001,1290,193.749138824484,0.930331350892099,0.871851851851852,0.064570943075616,0.0671197960917587,0,357.765,357.765,7,93.0331350892098,87.1851851851852,6.4570943075616,0.507996146011853,1046,52.593719,58.322186,0,311266.252001535,"7",33,3.98481026791909,68.8521023335086,88.5705965857387,-0.566325334345148,"УИК №1001",0.0509107893507707,"УИК",-0.970299047394249,-0.55423519005301,0.552625008480957
"6",2011,"№1002","Баймакская","53-59 Уфа",1002,1781,193.608724833873,0.908067542213884,0.883425414364641,0.0881801125703565,0.0919324577861163,0,355.613333333333,355.613333333333,7,90.8067542213884,88.3425414364641,8.81801125703565,1.13345328005577,1047,52.585841,58.308405,0,311265.233781513,"7",33,3.98481026791909,68.8521023335086,88.5705965857387,-0.566325334345148,"УИК №1002",0.0359195402298851,"УИК",-1.11672197148131,-0.55423519005301,1.18997020960469
"7",2011,"№1003","Баймакская","7 Баймакская",1003,1276,185.620953345868,0.90633608815427,0.844186046511628,0.0909090909090909,0.09366391184573,0,333.373333333333,333.373333333333,7,90.633608815427,84.4186046511628,9.09090909090909,0.490162337709175,1048,52.424007,57.869426,0,311239.331007082,"7",33,3.98481026791909,68.8521023335086,88.5705965857387,-0.566325334345148,"УИК №1003",0.041871921182266,"УИК",-1.05858371913825,-0.55423519005301,0.534452232888834
"8",2011,"№1004","Баймакская","7 Баймакская",1004,1180,180.271483972249,0.840041279669763,0.8075,0.148606811145511,0.148606811145511,0,344.04,344.04,7,84.0041279669763,80.75,14.8606811145511,0.367873366490812,1049,52.457395,57.811978,0,311241.091943146,"7",33,3.98481026791909,68.8521023335086,88.5705965857387,-0.566325334345148,"УИК №1004",0.037037037037037,"УИК",-1.1058071271717,-0.55423519005301,0.40983891454285
"9",2011,"№1005","Баймакская","7 Баймакская",1005,2356,188.660759032872,0.935262383521334,0.849583333333333,0.0617949975478176,0.064737616478666,0,366.07,366.07,7,93.5262383521334,84.9583333333333,6.17949975478176,1.86591326391576,1050,52.533091,58.130171,0,311256.776976579,"7",33,3.98481026791909,68.8521023335086,88.5705965857387,-0.566325334345148,"УИК №1005",0.0947242206235012,"УИК",-0.542363345071544,-0.55423519005301,1.93635206428115
"10",2011,"№1006","Баймакская","7 Баймакская",1006,789,187.892672231113,0.801152737752161,0.8675,0.193083573487032,0.194524495677233,0,359.596666666667,359.596666666667,7,80.1152737752161,86.75,19.3083573487032,-0.130199422533979,1051,52.570994,58.173658,0,311261.638900239,"7",33,3.98481026791909,68.8521023335086,88.5705965857387,-0.566325334345148,"УИК №1006",0.0670731707317073,"УИК",-0.812437409386378,-0.55423519005301,-0.0977007466371464
"11",2011,"№1007","Баймакская","7 Баймакская",1007,455,180.872185609532,0.931122448979592,0.871111111111111,0.0535714285714286,0.0663265306122449,0,376.888333333333,376.888333333333,7,93.1122448979592,87.1111111111111,5.35714285714286,-0.555663134897868,1052,52.624135,58.113112,0,311266.081903888,"7",33,3.98481026791909,68.8521023335086,88.5705965857387,-0.566325334345148,"УИК №1007",0.0612244897959184,"УИК",-0.869562800190362,-0.55423519005301,-0.531251250049215
